rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
72,2426,鼎元,52.0,0.31,9.94,55.87,5.17,76.6,4,-14.1,1727000.0,0.0,3945700.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
73,2428,興勤,177.0,1.12,4.73,9.89,4.56,62.8,1,11.3,86024.0,-1000.0,-311013.0,-1434.0,False,False,0.0,0.0,0.0,未通過,未通過
74,2441,超豐,95.1,0.88,2.48,6.58,8.27,56.0,1,14.3,1149577.0,-413000.0,-623353.0,-407394.0,False,False,0.0,0.0,0.0,未通過,未通過
75,2451,創見,245.0,0.69,1.87,1.12,13.29,51.5,1,380.6,-151615.0,449606.0,-2775602.0,-166481.0,False,False,0.0,0.0,0.0,未通過,未通過
76,2454,聯發科,1620.0,1.01,2.86,-1.51,151.35,50.5,1,12.9,439446.0,-525442.0,-1729864.0,-979578.0,False,False,0.0,0.0,0.0,未通過,未通過
77,2419,仲琦,35.35,0.4,-1.39,11.31,2.71,57.8,0,55.0,-49050.0,0.0,-4380250.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
78,2409,友達,18.0,0.51,-0.83,12.94,44.39,62.4,1,0.6,-11411470.0,56472.0,36957062.0,54703.0,False,False,0.0,0.0,0.0,未通過,未通過
79,2458,義隆,134.5,1.47,3.07,1.61,7.25,55.7,5,19.8,2342087.0,596252.0,4312725.0,350947.0,False,False,0.0,0.0,0.0,未通過,未通過
80,2455,全新,293.0,0.14,-2.01,19.04,9.25,65.5,11,16.6,199923.0,550000.0,1447325.0,618734.0,False,False,0.0,0.0,0.0,未通過,未通過
81,2467,志聖,549.0,1.26,1.29,36.71,39.73,81.2,1,77.6,141806.0,-3000.0,-469849.0,196001.0,False,False,0.0,0.0,0.0,未通過,未通過
82,2472,立隆電,162.5,0.51,9.8,30.63,4.59,75.9,1,9.3,328000.0,0.0,-482181.0,-972.0,False,False,0.0,0.0,0.0,未通過,未通過
83,2481,強茂,101.0,0.36,0.0,6.02,12.75,56.3,1,19.1,3153505.0,-1723000.0,-2298830.0,-2299563.0,False,False,0.0,0.0,0.0,未通過,未通過
84,2484,希華,34.9,2.38,9.92,21.92,6.6,66.9,4,-4.6,1869000.0,0.0,3161000.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
85,1802,台玻,63.4,1.24,9.88,11.35,76.27,61.1,1,16.4,20548430.0,0.0,8481817.0,2000.0,False,False,0.0,0.0,0.0,未通過,未通過
86,2002,中鋼,20.2,0.68,0.75,3.87,5.82,57.9,8,-2.3,16654864.0,-1789973.0,63274574.0,-2066973.0,False,False,0.0,0.0,0.0,未通過,未通過
87,2027,大成鋼,38.3,0.56,1.46,3.01,6.31,57.7,7,25.1,3301447.0,44000.0,16125223.0,940000.0,False,False,0.0,0.0,0.0,未通過,未通過
